Environment,Algorithm,Total Reward,Avg Latency (s),System Energy (J),Avg MD-VQM
Env_A,MA-Diffusion-RL,713.9641,0.6348,925.0469,18.7838
Env_A,MAPPO,-3.2881,13.1203,21762.3044,10.7631
Env_A,Greedy,-90.9071,14.6355,24106.5807,9.7488
Env_A,Random,535.4191,0.7889,138.7841,13.2945
Env_A,LocalOnly,275.9318,0.8670,7.2360,6.5936
Env_B,MA-Diffusion-RL,1804.0933,0.4559,918.5335,18.7838
Env_B,MAPPO,549.9967,7.4373,30478.4495,10.9376
Env_B,Greedy,1593.9520,2.2990,6493.8167,18.1226
Env_B,Random,1357.1214,0.5925,882.1637,13.3277
Env_B,LocalOnly,690.5493,0.8611,18.0837,6.5936
Env_C,MA-Diffusion-RL,3580.2365,0.6154,3251.8306,18.7838
Env_C,MAPPO,2299.7233,5.6145,49064.7108,17.0219
Env_C,Greedy,3469.4466,1.4563,2722.4319,18.7838
Env_C,Random,2733.5167,0.4760,2178.6509,13.3413
Env_C,LocalOnly,1379.9171,0.8659,36.5066,6.5936
